|Item description|functional||brand|subbrand|variant|content|content_uom
57|Варенье "Ратибор" Абрикосовое 400 г ст/б|Варенье|1|Ратибор||Абрикосовое|400|г
58|Варенье "Ратибор" Вишневое 400 г ст/б|Варенье|0|Ратибор||Вишневое|400|г
59|Варенье "Ратибор" Ежевичное 400 г ст/б|Варенье|0|Ратибор||Ежевичное|400|г
60|Варенье "Ратибор" Клубника 400 г ст/б|Варенье|0|Ратибор||Клубника|400|г
61|Варенье "Ратибор" Клюквенное 400 г ст/б|Варенье|0|Ратибор||Клюквенное|400|г
62|Варенье "Ратибор" Крыжовник 400 г ст/б|Варенье|0|Ратибор||Крыжовник|400|г
63|Варенье "Ратибор" Малиновое 400 г ст/б|Варенье|0|Ратибор||Малиновое|400|г
64|Варенье "Ратибор" Персик 680 г ст/б|Варенье|0|Ратибор||Персик|680|г
65|Варенье "Ратибор" Черная смородина 400 г ст/б|Варенье|0|Ратибор||Черная смородина|400|г
66|Варенье "Ратибор" Черничное 400 г ст/б|Варенье|0|Ратибор||Черничное|400|г
67|Ватные палочки " Русалочка" 100 шт/пл. банка|Ватные палочки|1|Русалочка|||100|шт
68|Ватные палочки " Русалочка" 108 шт/пл. кор.|Ватные палочки|0|Русалочка|||108|шт
69|Вафельные рулетики "Bahlsen" Waffeletten с молочным шоколадом 100 г карт/кор|Вафельные рулетики|1|Bahlsen|Waffeletten|с молочным шоколадом|100|г
70|Вафельные рулетики "Bahlsen" Waffeletten с темным шоколадом 100 г карт/кор|Вафельные рулетики|0|Bahlsen|Waffeletten|с темным шоколадом|100|г
71|Вафельные рулетики "Венские" Со сгущеным молоком 120 г карт/кор|Вафельные рулетики|0|Венские||Со сгущеным молоком|120|г
72|Вафельные рулетики "Венские" Хрустящие 120 г карт/кор|Вафельные рулетики|0|Венские||Хрустящие|120|г
73|Вафельные рулетики "Венские" Шоколадные 190 г карт/кор|Вафельные рулетики|0|Венские||Шоколадные|190|г
74|Вафельные трубочки "Молочные" 240 г карт/кор|Вафельные трубочки|1|Молочные|||240|г
75|Вафельные трубочки "Ореховые" 3 кг|Вафельные трубочки|0|Ореховые|||3|кг
76|Вафельные трубочки "Сливочные" 240 г карт/кор|Вафельные трубочки|0|штивочные|||240|г
77|Вафли "Bahlsen" First Class с орех. нугой и плиткой тем. шоколада 125 г карт/кор|Вафли|1|Bahlsen|First Class|с орех. нугой и плиткой тем. шоколада|125|г
78|Вафли "JULES DESTROOPER" сливочные хрустящие 100 г карт/кор|Вафли|0|JULES DESTROOPER||штивочные хрустящие|100|г
79|Вафли "Kinder" Bueno покрытые молочным шок. с молочно-орех. начинкой 43 г (2 шт)|Вафли|0|Kinder|Bueno |покрытые молочным шок. с молочно-орех. начинкой|43|г
80|Вафли "Kinder" Hippo с молочно-ореховой начинкой 20,7 г|Вафли|0|Kinder|Hippo|с молочно-ореховой начинкой|21|г
81|Вафли "Вареная сгущенка с шоколадом" 4 кг|Вафли|0|unbranded||Вареная сгущенка с шоколадом|4|кг
82|Вафли "Гризби" Пролине 120 г карт/кор|Вафли|0|гизби||Пролине|120|г
83|Вафли "Гризби" Туа Капуччино 100 г карт/кор|Вафли|0|гизби|Туа|Капуччино|100|г
84|Вафли "Гризби" Туа Орех 100 г карт/кор|Вафли|0|гизби|Туа|Орех|100|г
85|Вафли  "Клубника со сливками" 220 г (Коломенское) 875|Вафли|0|Клубника со сливками|||220|г
86|Вафли "Клубника со сливками" 4 кг/кор|Вафли|0|Клубника со сливками|||4|кг
87|Вафли "Кофе со сливками"220 г (Коломенское) 873|Вафли|0|Кофе со сливками|||220|г
88|Вафли "Леди Джем" со вкусом вишни 5 кг|Вафли|0|Леди Джем||со вкусом вишни|5|кг
89|Вафли "Леди Джем" со вкусом кураги 5 кг|Вафли|0|Леди Джем||со вкусом кураги|5|кг
90|Вафли "Мадам Нуар" со вкусом горячего шоколада 3 кг|Вафли|0|Мадам Нуар||со вкусом горячего шоколада|3|кг
91|Вафли "Маринка" 75 г (Рот Фронт)|Вафли|0|Маринка|||75|г
92|Вафли "Ореховые" 220 г (Коломенское) 872|Вафли|0|Ореховые|||220|г
93|Вафли "Орешек с шоколадом" 4 кг/кор|Вафли|0|Орешек с шоколадом|||4|кг
94|Вафли "Полосатые" 4 кг/кор|Вафли|0|Полосатые|||4|кг
95|Вафли "Сливочные" 220 г (Коломенское) 529|Вафли|0|штивочные|||220|г
96|Вафли  "Трюфельные сливки" 220 г (Коломенское)|Вафли|0|Трюфельные сливки|||220|г
97|Вафли "Частная галерея" в натуральном шоколаде 120 гр карт/кор|Вафли|0|Частная галерея||в натуральном шоколаде|120|г
98|Вафли "Частная Галерея" Венские хрустящие рулетики в шоколаде 140 гр карт/кор|Вафли|0|Частная Галерея||Венские хрустящие рулетики в шоколаде|140|г
99|Вафли "Частная Галерея" с шоколадно-ореховой начинкой 120 гр карт/кор.|Вафли|0|Частная Галерея||с шоколадно-ореховой начинкой|120|г
100|Вафли "Частная Галерея" со сливочной карамелью в шоколаде 300 гр карт/кор.|Вафли|0|Частная Галерея||со сливочной карамелью в шоколаде|300|г
101|Вафли "Частная Галерея" со сливочной карамелью 320 гр карт/кор.|Вафли|0|Частная Галерея||со сливочной карамелью|320|г
102|Вафли "Частная Галерея" хрустящие с нежной кокосовой начинкой 200 гр/пакет|Вафли|0|Частная Галерея||хрустящие с нежной кокосовой начинкой|200|г
103|Вафли "Шоколадные" 4 кг|Вафли|0|Шоколадные|||4|кг
104|Вафли "Шоколадный вкус" 220 г (Коломенское) 874|Вафли|0|Шоколадный вкус|||220|г
105|Вафли-мини "Частная Галерея" в  шоколаде 200 гр/пакет|Вафли-мини|1|Частная Галерея||в  шоколаде|200|г
106|Вермишель "Sen Soy" Фунчоза 200 г|Вермишель|1|Sen Soy||Фунчоза|200|г
107|Ветчина "Для завтрака" п/а синюга (Востряково) 2,11 кг|Ветчина|1|Для завтрака||п/а синюга |2,11|кг
108|Ветчина "Для завтрака" п/а синюга (Востряково) 2,22 кг|Ветчина|0|Для завтрака||п/а синюга |2,22|кг
109|Ветчина "Для завтрака" п/а синюга (Востряково) 2,28 кг|Ветчина|0|Для завтрака||п/а синюга |2,28|кг
110|Вилка однораз. "Мистерия"  белая 100 шт|Вилка однораз.|1|Мистерия||белая|100|шт
111|Вишня "Good food" сушеная б/косточек 130 гр|Вишня|1|Good Food||сушеная б/косточек|130|г
112|Вишня "Good food" сушеная б/косточек 450 г пакет|Вишня|0|Good Food||сушеная б/косточек|450|г
113|Вода "Демидовская Люкс" питьевая без газа 0,5 л/б|Вода|1|Демидовская Люкс||питьевая без газа|0,5|л
114|Вода газ. "7up" 0,6 л пл/б|Вода газ.|1|7up|||0,6|л
115|Вода газ. "7up" 2 л пл/б|Вода газ.|0|7up|||2|л
116|Вода газ. "Coca-Cola" Light 0,33 л ж/б|Вода газ.|0|Coca-Cola|Light||0,33|л
117|Вода газ. "Coca-Cola" Light 0,5 л пл/б|Вода газ.|0|Coca-Cola|Light||0,5|л
118|Вода газ. "Coca-Cola" Light 1 л пл/б|Вода газ.|0|Coca-Cola|Light||1|л
119|Вода газ. "Coca-Cola" Light 2 л пл/б|Вода газ.|0|Coca-Cola|Light||2|л
120|Вода газ. "Coca-Cola" 0,25 л ст/б|Вода газ.|0|Coca-Cola|||0,25|л
121|Вода газ. "Coca-Cola" 0,33 л ж/б|Вода газ.|0|Coca-Cola|||0,33|л
122|Вода газ. "Coca-Cola" 0,5 л пл/б|Вода газ.|0|Coca-Cola|||0,5|л
123|Вода газ. "Coca-Cola" 1 л пл/б|Вода газ.|0|Coca-Cola|||1|л
124|Вода газ. "Coca-Cola" 2 л пл/б|Вода газ.|0|Coca-Cola|||2|л
125|Вода газ. "Pepsi" Light 0.25 л ст/бутылка|Вода газ.|0|Pepsi|Light||31.12.1899 6:00 AM|л
126|Вода газ. "Pepsi" Light 0,33 л ж/б|Вода газ.|0|Pepsi|Light||0,33|л
127|Вода газ. "Pepsi" 0.25 л ст/бутылка|Вода газ.|0|Pepsi|||31.12.1899 6:00 AM|л
128|Вода газ. "Pepsi" 0,33 л ж/б|Вода газ.|0|Pepsi|||0,33|л
129|Вода газ. "Pepsi" 0,6 л пл/б|Вода газ.|0|Pepsi|||0,6|л
130|Вода газ. "Pepsi" 1,25 л пл/б|Вода газ.|0|Pepsi|||1,25|л
131|Вода газ. "Pepsi" 2 л пл/б|Вода газ.|0|Pepsi|||2|л
132|Вода газ. "Из Черноголовки" Байкал 0,33л ст/б|Вода газ.|0|Из Черноголовки|Байкал||0,33|л
133|Вода газ. "Из Черноголовки" Байкал 1л ст/б|Вода газ.|0|Из Черноголовки|Байкал||1|л
134|Вода газ. "Из Черноголовки" Дюшес 1л ст/б|Вода газ.|0|Из Черноголовки|Дюшес||1|л
135|Вода газ. "Из Черноголовки" Кола 1л ст/б|Вода газ.|0|Из Черноголовки|Кола||1|л
