|Item description|functional||brand|subbrand|variant|content|content_uom
415|Кетчуп "HEINZ" Острый  томатный 342 г ст/б|Кетчуп|0|HEINZ||Острый  томатный|342|г
416|Кетчуп "HEINZ" Томатный  570 г пл/б|Кетчуп|0|HEINZ||Томатный|570|г
417|Кетчуп "HEINZ" Томатный 1 кг  пл/б|Кетчуп|0|HEINZ||Томатный|1|кг
418|Кетчуп "HEINZ" Томатный 342 г ст/б|Кетчуп|0|HEINZ||Томатный|342|г
419|Кетчуп "Балтимор" Аджика 530 г ст/б|Кетчуп|0|Балтимор||Аджика|530|г
420|Кетчуп "Балтимор" Краснодарский 900 г пласт/б|Кетчуп|0|Балтимор||Краснодарский|900|г
421|Кетчуп "Балтимор" Острый 900 г пласт/б|Кетчуп|0|Балтимор||Острый|900|г
422|Кетчуп "Балтимор" Русский 530 г ст/б|Кетчуп|0|Балтимор||Русский|530|г
423|Кетчуп "Балтимор" Томатный 530 г ст/б|Кетчуп|0|Балтимор||Томатный|530|г
424|Кетчуп "Балтимор" Шашлычный 900 г пл/б|Кетчуп|0|Балтимор||Шашлычный|900|г
425|Кетчуп "Восточный гурман" Острый 900 г пл/бут|Кетчуп|0|Восточный гурман||Острый|900|г
426|Кешью "Good food" жареный  130 г|Кешью|1|Good Food||жареный|130|г
427|Кешью "Good food" жареный  200 г|Кешью|0|Good Food||жареный|200|г
428|Кешью "Good food" сушеный  130 г|Кешью|0|Good Food||сушеный|130|г
429|Кешью "Seeberger" 200 г|Кешью|0|Seeberger|||200|г
430|Кешью "Джаз" жареный 40 г|Кешью|0|Джаз||жареный|40|г
431|Клинер "Баги" д/окон,зеркал, общ. чистки (спрей) 750 мл|Клинер д/окон,зеркал, общ. Чистки|1|Баги|| (спрей)|750|мл
432|Клубника "Good food" сушеная 130 г пакет|Клубника|1|Good Food||сушеная|130|г
433|Клюква протертая с сахаром "Хозяинъ" 300 г. ст/б|Клюква протертая с сахаром|1|Хозяинъ|||300|г
434|Кожанка "Bagi" д/чистки кожаных изд. 200 мл|Кожанка|1|Bagi||д/чистки кожаных изд.|200|мл
435|Коктейль "Джаз" орехи и сухофрукты 50 г|Коктейль|1|Джаз||орехи и сухофрукты|50|г
436|Коктейль морской "MARISOL" замороженный 500 г|Коктейль морской|1|Marisol||замороженный|500|г
437|Колбаса "Брауншвейгская" с/к в/с нарезка (Останкино) 0,13 кг|Колбаса|1|Брауншвейгская||с/к в/с нарезка (Останкино)|0,13|кг
438|Колбаса "Брауншвейгская" с/к в/с нарезка (Останкино) 0,14 кг|Колбаса|0|Брауншвейгская||с/к в/с нарезка (Останкино)|0,14|кг
439|Колбаса "Брауншвейгская" с/к в/с нарезка (Останкино) 0,15 кг|Колбаса|0|Брауншвейгская||с/к в/с нарезка (Останкино)|0,15|кг
440|Колбаса "Брауншвейгская" с/к в/с нарезка (Останкино) 0,16 кг|Колбаса|0|Брауншвейгская||с/к в/с нарезка (Останкино)|0,16|кг
441|Колбаса "Брауншвейгская" с/к нарезка (Ремит) 100 г|Колбаса|0|Брауншвейгская||с/к нарезка (Ремит)|100|г
442|Колбаса "Брауншвейгская" с/к (Таганский) 0,47 кг|Колбаса|0|Брауншвейгская||с/к (Таганский)|0,47|кг
443|Колбаса "Брауншвейгская" с/к (Метатр) 0,42 кг|Колбаса|0|Брауншвейгская||с/к (Метатр)|0,42|кг
444|Колбаса "Брауншвейгская" с/к (Метатр) 0,44 кг|Колбаса|0|Брауншвейгская||с/к (Метатр)|0,44|кг
445|Колбаса "Брауншвейгская" с/к (Рублевский) 0,49 кг|Колбаса|0|Брауншвейгская||с/к (Рублевский)|0,49|кг
446|Колбаса "Брауншвейгская" с/к (Рублевский) 0,5 кг|Колбаса|0|Брауншвейгская||с/к (Рублевский)|0,5|кг
447|Колбаса "Дворянская" с/к в специях (Царицыно) 0,48 кг|Колбаса|0|Дворянская||с/к в специях (Царицыно)|0,48|кг
448|Колбаса "Дворянская" с/к в специях (Царицыно) 0,52 кг|Колбаса|0|Дворянская||с/к в специях (Царицыно)|0,52|кг
449|Колбаса "Зернистая" с/к (Дымов) 0,53 кг|Колбаса|0|Зернистая||с/к (Дымов)|0,53|кг
450|Колбаса "Сервелат" в/к (Дымов) 0,62 кг|Колбаса|0|Сервелат||в/к (Дымов)|0,62|кг
451|Колбаса " Сервелат Коньячный" в/к нарезка (Черкизовский) 100 г|Колбаса|0|Сервелат Коньячный||в/к нарезка (Черкизовский)|100|г
452|Колбаса "Сервелат Русский" в/к в/с нарезка 200 г (Царицыно)|Колбаса|0|Сервелат Русский||в/к в/с нарезка|200|г
453|Колбаса "Сервелат Финский" в/к вак/уп нарезка (Таганский) 110 г|Колбаса|0|Сервелат Финский||в/к вак/уп нарезка (Таганский)|110|г
454|Колбаса "Столичная" с/к нарезка (Метатр) 120 г|Колбаса|0|Столичная||с/к нарезка (Метатр)|120|г
455|Колбаса "Традиционная" из куриных грудок вареная подкопченая (Микоян) 1 кг|Колбаса|0|Традиционная||из куриных грудок вареная подкопченая (Микоян)|1|кг
456|Колбаса Сервелат "Финский" нарезка в/к вак/уп 120 г (Метатр)|Колбаса Сервелат|1|Финский||нарезка в/к вак/уп|120|г
457|Кондиционер "Ушастый нянь" с первых дней жизни 750 мл пл/бут.|Кондиционер|1|Ушастый нянь||с первых дней жизни|750|мл
458|Кондиционер-концентрат "Vernel " Грейпфрут и лайм 1л|Кондиционер-концентрат|1|Vernel||гейпфрут и лайм|1|л
459|Кондиционер-концентрат "Vernel " Грейпфрут и лайм 500 мл|Кондиционер-концентрат|0|Vernel||гейпфрут и лайм|500|мл
460|Кондиционер-концентрат "Vernel " Магнолия и жемчуг 1л|Кондиционер-концентрат|0|Vernel||Магнолия и жемчуг|1|л
461|Кондиционер-концентрат "Vernel " Орхидея и цветок розы 1л|Кондиционер-концентрат|0|Vernel||Орхидея и цветок розы|1|л
462|Кондиционер-концентрат "Vernel " Свежесть Тропического Ливня 1 л|Кондиционер-концентрат|0|Vernel||Свежесть Тропического Ливня|1|л
463|Кондиционер-концентрат "Vernel " Свежий бриз 1л|Кондиционер-концентрат|0|Vernel||Свежий бриз|1|л
464|Кондиционер-концентрат "Vernel" Гибискус и цветок розы 1л|Кондиционер-концентрат|0|Vernel||Гибискус и цветок розы|1|л
465|Кондиционер-концентрат "Vernel" Лотос Жожоба 1 л|Кондиционер-концентрат|0|Vernel||Лотос Жожоба|1|л
466|Кондиционер-концентрат "Vernel" Натуральный Алоэ Вера с эктрактом авокадо 1 л|Кондиционер-концентрат|0|Vernel||Натуральный Алоэ Вера с эктрактом авокадо|1|л
467|Кондиционер-концентрат "Vernel" Свежесть летнего утра 1 л|Кондиционер-концентрат|0|Vernel||Свежесть летнего утра|1|л
468|Конфеты "Raffaello" 150 г карт/кор|Конфеты|1|Raffaello|||150|г
469|Конфеты "Raffaello" 300 г ж/б|Конфеты|0|Raffaello|||300|г
470|Конфеты "Аленка" (Красный Октябрь) 0,5 кг|Конфеты|0|Аленка|||0,5|кг
471|Конфеты "Аленка с орешками" (Красный Октябрь) 0,5 кг|Конфеты|0|Аленка с орешками|||0,5|кг
472|Конфеты "Бабаевские" шоколадный вкус (Бабаевский) 0,5 кг|Конфеты|0|Бабаевский||шоколадный вкус|0,5|кг
473|Конфеты "Батончик" (РотФронт) 0,5 кг|Конфеты|0|Рот Фронт||батончик|0,5|кг
474|Конфеты "Батончик" с орешками (РотФронт) 0,5 кг|Конфеты|0|Рот Фронт||с орешками|0,5|кг
475|Конфеты "Батончик" с халвой (РотФронт) 0,5 кг|Конфеты|0|Рот Фронт||с халвой|0,5|кг
476|Конфеты "Белочка" (Бабаевские) 0,5 кг|Конфеты|0|Бабаевский|||0,5|кг
477|Конфеты "Вдохновение" (Бабаевский) 0,5 кг|Конфеты|0|Вдохновение|||0,5|кг
478|Конфеты "Вечерний звон" (РотФронт) 0,5 кг|Конфеты|0|Вечерний звон|||0,5|кг
479|Конфеты "Визит" (Бабаевские) 0,5 кг|Конфеты|0|Визит|||0,5|кг
480|Конфеты "Грильяж" (РотФронт) 0,5 кг|Конфеты|0|гильяж|||0,5|кг
481|Конфеты "Золотое суфле" Ананас (Красный Октябрь) 0,5 кг|Конфеты|0|Золотое суфле||Ананас|0,5|кг
482|Конфеты "Золотое суфле" Апельсин (Красный Октябрь) 0,5 кг|Конфеты|0|Золотое суфле||Апельсин|0,5|кг
483|Конфеты "Золотое суфле" Смородина (Красный Октябрь) 0,5 кг|Конфеты|0|Золотое суфле||Смородина|0,5|кг
484|Конфеты "Золотой степ" 0,5 кг|Конфеты|0|Золотой степ|||0,5|кг
485|Конфеты "Золотые купола" (РотФронт) 0.5 кг|Конфеты|0|Золотые купола|||31.12.1899 12:00 PM|кг
486|Конфеты "Кара-Кум" (Красный Октябрь) 0,5 кг|Конфеты|0|Кара-Кум|||0,5|кг
487|Конфеты "Коровка" Александровская (сливочная) 1 кг|Конфеты|0|Коровка||Александровская (сливочная)|1|кг
488|Конфеты "Коровка" (РотФронт) 0,5 кг|Конфеты|0|Коровка|||0,5|кг
489|Конфеты "Коровка" топленое молоко (РотФронт) 0,5 кг|Конфеты|0|Коровка||топленое молоко|0,5|кг
490|Конфеты "Красная шапочка" (РотФронт) 0,5 кг|Конфеты|0|Красная шапочка|||0,5|кг
491|Конфеты "Кто сказал Му" 0,5 кг|Конфеты|0|Кто сказал Му|||0,5|кг
492|Конфеты "Ласточка" (Красный Октябрь) 0,5 кг|Конфеты|0|Ласточка|||0,5|кг
493|Конфеты "Левушка" 0,5 кг|Конфеты|0|Левушка|||0,5|кг
494|Конфеты "Марсианка" 0,5 кг|Конфеты|0|Марсианка|||0,5|кг
495|Конфеты "Маска" (РотФронт) 0,5 кг|Конфеты|0|Маска|||0,5|кг
496|Конфеты "Медунок с орехом" 0,5 кг|Конфеты|0|Медунок с орехом|||0,5|кг
497|Конфеты "Мишка косолапый" (Красный Октябрь) 0,5 кг|Конфеты|0|Мишка косолапый|||0,5|кг
498|Конфеты "Огни Москвы" (РотФронт) 0,5 кг|Конфеты|0|Огни Москвы|||0,5|кг
499|Конфеты "Осенний Вальс" (РотФронт) 0,5 кг|Конфеты|0|Осенний Вальс|||0,5|кг
500|Конфеты "Петушок-золотой гребешок" (Красный Октябрь) 0,5 кг|Конфеты|0|Петушок-золотой гребешок|||0,5|кг
501|Конфеты "Помадка" Премиум ваниль 200 г карт/кор|Конфеты|0|Помадка||Премиум ваниль|200|г
502|Конфеты "Причал" 0,5 кг|Конфеты|0|Причал|||0,5|кг
503|Конфеты "Птичье молоко" слив/ванильное (Красный Октябрь) 0,5 кг|Конфеты|0|Птичье молоко||штив/ванильное|0,5|кг
504|Конфеты "Соланж" миндал. крем с абрикос.кост 0,5 кг|Конфеты|0|Соланж||миндал. крем с абрикос.кост|0,5|кг
505|Конфеты "Сочная долька" Апельсин 1 кг|Конфеты|0|Сочная долька||Апельсин|1|кг
506|Конфеты "Сочная долька" барбарис 1 кг|Конфеты|0|Сочная долька||барбарис|1|кг
507|Конфеты "Столичные" (Красный Октябрь) 0,5 кг|Конфеты|0|Столичные|||0,5|кг
508|Конфеты "Стратосфера" (Красный Октябрь) 0,5 кг|Конфеты|0|Стратосфера|||0,5|кг
509|Конфеты "Суфле" двухслойное клубника со сливками (Рузанна) (лоток) 200 гр|Конфеты|0|Суфле||двухслойное клубника со сливками (Рузанна) (лоток)|200|г
510|Конфеты "Суфле" классическое сливочное (Рузанна) (лоток) 200 г|Конфеты|0|Суфле||классическое сливочное (Рузанна) (лоток)|200|г
511|Конфеты "Суфле" с мармеладом Вишня (Рузанна) (лоток) 200 г|Конфеты|0|Суфле||с мармеладом Вишня (Рузанна) (лоток)|200|г
512|Конфеты "Тоффи" 0,5 кг|Конфеты|0|Тоффи|||0,5|кг
513|Конфеты "Трюфели" (Бабаевский) 0,5 кг|Конфеты|0|Трюфели|||0,5|кг
514|Конфеты "Трюфели" (Красный Октябрь) 0,5 кг|Конфеты|0|Трюфели|||0,5|кг
515|Конфеты "Трюфель" горький (Бабаевский) 0,5 кг|Конфеты|0|Трюфель||горький |0,5|кг
516|Конфеты "Фруже" Абрикос с миндалем в белом шоколаде 220 г|Конфеты|0|Фруже||Абрикос с миндалем в белом шоколаде|220|г
517|Конфеты "Фруже" Вишня фружеле в темном шоколаде 220 г|Конфеты|0|Фруже||Вишня фружеле в темном шоколаде|220|г
518|Конфеты "Фруже" Вишня фружеле в темном шоколаде 440 г|Конфеты|0|Фруже||Вишня фружеле в темном шоколаде|440|г
519|Конфеты "Фруже" Фрукты в шоколаде 220 г|Конфеты|0|Фруже||Фрукты в шоколаде|220|г
520|Конфеты "Фруже" Чернослив в темном шоколаде 220 г|Конфеты|0|Фруже||Чернослив в темном шоколаде|220|г
521|Конфеты "Фруже" Чернослив с миндалем в темном шоколаде 220 г|Конфеты|0|Фруже||Чернослив с миндалем в темном шоколаде|220|г
522|Конфеты "Фруже" Ягоды фружеле в шоколаде 220 г|Конфеты|0|Фруже||Ягоды фружеле в шоколаде|220|г
523|Конфеты "Халва в шоколаде" (РотФронт) 0,5 кг|Конфеты|0|Халва в шоколаде|||0,5|кг
524|Конфеты "Цитрон" (Красный Октябрь) 0,5 кг|Конфеты|0|Цитрон|||0,5|кг
525|Конфеты "Шоколадный вкус" (Бабаевский) 0,5 кг|Конфеты|0|Шоколадный вкус|||0,5|кг
526|Конфеты "Шоколадный крем" (Красный Октябрь) 0,5 кг|Конфеты|0|Шоколадный крем|||0,5|кг
527|Конфеты "Южная ночь" (Красный Октябрь) 0,5 кг|Конфеты|0|Красный Октябрь|Южная ночь||0,5|кг
528|Конфеты вафельные "Коровка" Шоколадный вкус (РотФронт) 0,5 кг|Конфеты вафельные|1|Коровка||Шоколадный вкус |0,5|кг
529|Конфитюр "Schwartau" extra Абрикос 340 г ст/б|Конфитюр|1|Schwartau|extra|Абрикос|340|г
530|Конфитюр "Schwartau" extra Ананас 340 г ст/б|Конфитюр|0|Schwartau|extra|Ананас|340|г
531|Конфитюр "Schwartau" extra Апельсин 340 г ст/б|Конфитюр|0|Schwartau|extra|Апельсин|340|г
532|Конфитюр "Schwartau" extra Клубника 340 г ст/б|Конфитюр|0|Schwartau|extra|Клубника|340|г
533|Конфитюр "Schwartau" extra крыжовник 340 г ст/б|Конфитюр|0|Schwartau|extra|крыжовник|340|г
534|Конфитюр "Schwartau" extra Малина 340 г ст/б|Конфитюр|0|Schwartau|extra|Малина|340|г
535|Конфитюр "Schwartau" extra Черешня 340 г ст/б|Конфитюр|0|Schwartau|extra|Черешня|340|г
536|Конфитюр "Schwartau" extra Черника 340 г ст/б|Конфитюр|0|Schwartau|extra|Черника|340|г
537|Концентрат-кондиц. "Lenor" Альпийские луга 1 л пл/б|Концентрат-кондиц.|1|Lenor||Альпийские луга|1|л
538|Концентрат-кондиц. "Lenor" Ароматерапия Свежесть Лаванды 1 л пл/б|Концентрат-кондиц.|0|Lenor||Ароматерапия Свежесть Лаванды|1|л
539|Концентрат-кондиц. "Lenor" Ароматерапия Свежесть Розы 1 л пл/б|Концентрат-кондиц.|0|Lenor||Ароматерапия Свежесть Розы|1|л
540|Концентрат-кондиц. "Lenor" Ароматерапия Свежесть Сирени 1 л пл/б|Концентрат-кондиц.|0|Lenor||Ароматерапия Свежесть Сирени|1|л
541|Концентрат-кондиц. "Lenor" Белая роза 1 л пл/б|Концентрат-кондиц.|0|Lenor||Белая роза|1|л
542|Концентрат-кондиц. "Lenor" Скандинавская весна 2 л пл/б|Концентрат-кондиц.|0|Lenor||Скандинавская весна|2|л
543|Концентрат-кондиц. "Vernel"  Детский 1 л пл/б|Концентрат-кондиц.|0|Vernel||Детский|1|л
544|Корейка "По-останкински" нарезка (Останкино) 0,15 кг|Корейка|1|По-останкински||нарезка (Останкино)|0,15|кг
545|Кориандр "Galeo" молотый 15 г|Кориандр|1|Galeo||молотый|15|г
546|Корица молотая "Kotanyi" 25 г|Корица молотая|1|KOTANYI|||25|г
547|Косметические диски "Русалочка" Aloe Cotton 120 шт|Косметические диски|1|Русалочка|Aloe Cotton||120|шт
548|Косметические диски "Русалочка" Camomile ромашка 120 шт|Косметические диски|0|Русалочка|Camomile|ромашка|120|шт
549|Косметические диски "Русалочка" 80 шт|Косметические диски|0|Русалочка|||80|шт
550|Косметические диски "Я самая" 80 шт|Косметические диски|0|Я самая|||80|шт
551|Котлета Кокетка "Сытоедов" с картофельным пюре и соусом 350 г крт/кор|Котлета Кокетка|1|Сытоедов||с картофельным пюре и соусом|350|г
552|Котлета куриная "Будь готов" с овощами и грибным соусом 350 г карт/кор.|Котлета куриная|1|Будь готов||с овощами и грибным соусом|350|г
553|Котлета куриная "Сытоедов" с картоф.пюре и грибным соусом 350 г|Котлета куриная|0|Сытоедов||с картоф.пюре и грибным соусом|350|г
554|Котлеты МЛМ "Вкусные " куриные 335г (4шт)|Котлеты МЛМ|1|Вкусные||куриные|335|г
555|Котлеты МЛМ "Вкусные" из говядины 335г (4 шт)|Котлеты МЛМ|0|Вкусные||из говядины|335|г
556|Котлеты МЛМ "Вкусные" из индейки 335г (4 шт)|Котлеты МЛМ|0|Вкусные||из индейки|335|г
557|Кофе "Ambassador" ADORA  растворимый субл. 100 г ст/б|Кофе|1|Ambassador|ADORA |растворимый субл.|100|г
558|Кофе "Ambassador" Blue Label  зерно 1 кг пакет|Кофе|0|Ambassador|Blue Label |зерно|1|кг
559|Кофе "Ambassador" Blue Label  зерно 250 гр пакет|Кофе|0|Ambassador|Blue Label |зерно|250|г
560|Кофе "Ambassador" Blue Label  растворимый субл. 100 г ст/б|Кофе|0|Ambassador|Blue Label |растворимый субл.|100|г
561|Кофе "Ambassador" Blue Label в зернах 500 г пакет|Кофе|0|Ambassador|Blue Label |в зернах|500|г
562|Кофе "Ambassador" Prestige в зернах 1 кг пакет|Кофе|0|Ambassador|Prestige |в зернах|1|кг
563|Кофе "Carte Noire" Velours noir молотый 250 г пакет|Кофе|0|Carte Noire|Velours noir|молотый|250|г
564|Кофе "Carte Noire" Арома молотый 250 г пакет|Кофе|0|Carte Noire|Арома|молотый|250|г
565|Кофе "Carte Noire" б/кофеина, б/раст. 95 г ст/б|Кофе|0|Carte Noire||б/кофеина, б/раст.|95|г
566|Кофе "Carte Noire" б/раст. 190 г пакет|Кофе|0|Carte Noire||б/раст.|190|г
567|Кофе "Carte Noire" б/раст. 190 г ст/б|Кофе|0|Carte Noire||б/раст.|190|г
568|Кофе "Carte Noire" б/раст. 95 г пакет|Кофе|0|Carte Noire||б/раст.|95|г
569|Кофе "Carte Noire" б/раст. 95 г ст/б|Кофе|0|Carte Noire||б/раст.|95|г
570|Кофе "Carte Noire" в зернах 250 г пакет|Кофе|0|Carte Noire||в зернах|250|г
571|Кофе "Carte Noire" Эспрессо молотый 250 г пакет|Кофе|0|Carte Noire||Эспрессо молотый|250|г
572|Кофе "Davidoff" Fine Aroma б/раст. сублимированный 100г  ст/б|Кофе|0|Davidoff|Fine Aroma|б/раст. сублимированный|100|г
573|Кофе "Davidoff" Rich Aroma б/раст. сублимированный 100г  ст/б|Кофе|0|Davidoff|Rich Aroma|б/раст. сублимированный|100|г
574|Кофе "Davidoff" Rich Aroma б/раст. сублимированный 100г пакет|Кофе|0|Davidoff|Rich Aroma|б/раст. сублимированный|100|г
575|Кофе "JACOBS Monarch" без кофеина б/раст. 95 г ст/б|Кофе|0|JACOBS Monarch||без кофеина б/раст.|95|г
576|Кофе "JACOBS Monarch" б/раст. 190 г пакет|Кофе|0|JACOBS Monarch||б/раст.|190|г
577|Кофе "JACOBS Monarch" б/раст. 190 г ст/б|Кофе|0|JACOBS Monarch||б/раст.|190|г
578|Кофе "JACOBS Monarch" б/раст. 95 г ст/б|Кофе|0|JACOBS Monarch||б/раст.|95|г
579|Кофе "JACOBS Monarch" б/раст 95 гр пакет|Кофе|0|JACOBS Monarch||б/раст|95|г
580|Кофе "JACOBS Monarch" натуральный в зернах 250 г|Кофе|0|JACOBS Monarch||натуральный в зернах|250|г
581|Кофе "JACOBS Monarch" натуральный молотый 250 г|Кофе|0|JACOBS Monarch||натуральный молотый|250|г
582|Кофе "LAVAZZA" Bella Crema в зернах 1 кг|Кофе|0|LAVAZZA|Bella Crema |в зернах|1|кг
583|Кофе "LAVAZZA" Crema e Aroma в зёрнах 1 кг|Кофе|0|LAVAZZA|Crema e Aroma|в зёрнах|1|кг
584|Кофе "LAVAZZA" Espresso в зернах 250 г пакет|Кофе|0|LAVAZZA|Espresso|в зернах|250|г
585|Кофе "LAVAZZA" Espresso молотый 250 г вак/уп|Кофе|0|LAVAZZA|Espresso|молотый|250|г
586|Кофе "LAVAZZA" Espresso молотый 250 г ж/б|Кофе|0|LAVAZZA|Espresso|молотый|250|г
587|Кофе "LAVAZZA" Grand Espresso в зёрнах 1 кг|Кофе|0|LAVAZZA|Grand Espresso|в зёрнах|1|кг
588|Кофе "LAVAZZA" Qualita Oro в зёрнах 1 кг пакет|Кофе|0|LAVAZZA|Qualita Oro|в зёрнах|1|кг
589|Кофе "LAVAZZA" Qualita Oro в зёрнах 250 г пакет|Кофе|0|LAVAZZA|Qualita Oro|в зёрнах|250|г
590|Кофе "LAVAZZA" Qualita Oro молотый 250 г ж/б|Кофе|0|LAVAZZA|Qualita Oro|молотый|250|г
591|Кофе "LAVAZZA" Qualita Oro молотый 250 г пакет|Кофе|0|LAVAZZA|Qualita Oro|молотый|250|г
592|Кофе "LAVAZZA" Qualita Rossa молотый 250 г вак/уп|Кофе|0|LAVAZZA|Qualita Rossa|молотый|250|г
593|Кофе "LAVAZZA" Super Crema в зёрнах 1 кг|Кофе|0|LAVAZZA|Super Crema|в зёрнах|1|кг
594|Кофе "Liegeois" Bella Roma зерно 1 кг пакет|Кофе|0|Liegeois|Bella Roma|зерно|1|кг
595|Кофе "Liegeois" Deca молотый без кофеина 250 г пакет|Кофе|0|Liegeois|Deca|молотый без кофеина|250|г
596|Кофе "Liegeois" Dessert молотый 250 г пакет|Кофе|0|Liegeois|Dessert|молотый|250|г
597|Кофе "Liegeois" Grandioso Espresso зерно 1 кг пакет|Кофе|0|Liegeois|Grandioso Espresso|зерно|1|кг
598|Кофе "Liegeois" Ital bar зерно 1 кг пакет|Кофе|0|Liegeois|Ital bar|зерно|1|кг
599|Кофе "Liegeois" Mano mano молотый 250 г пакет|Кофе|0|Liegeois|Mano mano|молотый|250|г
600|Кофе "Liegeois" Moka молотый 250 г пакет|Кофе|0|Liegeois|Moka|молотый|250|г
601|Кофе "Liegeois" Venezia зерно 1 кг пакет|Кофе|0|Liegeois|Venezia|зерно|1|кг
602|Кофе "Moссona" continental gold быстр/раст. 100г ст/б|Кофе|0|Moссona||continental gold быстр/раст.|100|г
603|Кофе "Moссona" continental gold быстр/раст. 190г ст/б|Кофе|0|Moссona||continental gold быстр/раст.|190|г
604|Кофе "Nescafe" Classic Arabica б/раст. гранул. 100 г ж/б|Кофе|0|Nescafe|Classic Arabica|б/раст. гранул.|100|г
605|Кофе "Nescafe" Classic Arabica б/раст. гранул. 250 г ж/б|Кофе|0|Nescafe|Classic Arabica|б/раст. гранул.|250|г
606|Кофе "Nescafe" Classic Arabica б/раст. гранул. 50 г ж/б|Кофе|0|Nescafe|Classic Arabica|б/раст. гранул.|50|г
607|Кофе "Nescafe" Classic б/раст. гранул. 30 шт х 2 г карт/кор|Кофе|0|Nescafe|Classic|б/раст. гранул.|30|шт
608|Кофе "Nescafe" Classic б/раст. гранул. 750 г пл/пакет|Кофе|0|Nescafe|Classic|б/раст. гранул.|750|г
609|Кофе "Nescafe" Gold б/раст. 150 г пакет|Кофе|0|Nescafe|Gold|б/раст.|150|г
610|Кофе "Nescafe" Gold б/раст. 190 г пакет|Кофе|0|Nescafe|Gold|б/раст.|190|г
611|Кофе "Nescafe" Gold б/раст. 190 г ст/б|Кофе|0|Nescafe|Gold|б/раст.|190|г
612|Кофе "Nescafe" Gold б/раст. 95 г ст/б|Кофе|0|Nescafe|Gold|б/раст.|95|г
613|Кофе "Nescafe" Green б/раст. с антиоксидантами 95 г ст/б|Кофе|0|Nescafe|Green|б/раст. с антиоксидантами|95|г
614|Кофе "Nescafe" Montego б/раст. 95 г ст/б|Кофе|0|Nescafe|Montego|б/раст.|95|г
615|Кофе "Nescafe" Tasters Choice Classigue б/раст. сублимированный 150 г пл/б|Кофе|0|Nescafe|Tasters Choice Classigue|б/раст. сублимированный|150|г
616|Кофе "Nesсafe" Gold б/раст. 500 г ж/б|Кофе|0|Nesсafe|Gold|б/раст.|500|г
617|Кофе "PAULIG-Arabica" в зернах 1 кг пакет|Кофе|0|PAULIG|Arabica|в зернах|1|кг
618|Кофе "PAULIG-Arabica" в зернах 500 г пакет|Кофе|0|PAULIG|Arabica|в зернах|500|г
619|Кофе "PAULIG-Classic" в зернах 250 г пакет|Кофе|0|PAULIG|Classic|в зернах|250|г
620|Кофе "PAULIG-Classic" молотый 500 г вак/уп|Кофе|0|PAULIG|Classic|молотый|500|г
621|Кофе "PAULIG-Espresso" в зернах 250 г пакет|Кофе|0|PAULIG|Espresso|в зернах|250|г
622|Кофе "PAULIG-Espresso" молотый 250 г пакет|Кофе|0|PAULIG|Espresso|молотый|250|г
623|Кофе "PAULIG-Extra" молотый 250 гр вак/уп|Кофе|0|PAULIG|Extra|молотый|250|г
624|Кофе "PAULIG-President" в зёрнах 250 г пакет|Кофе|0|PAULIG|President|в зёрнах|250|г
625|Кофе "PAULIG-President" молотый  500г вак/уп|Кофе|0|PAULIG|President|молотый|500|г
626|Кофе "PAULIG-President" молотый 250 г вак/уп|Кофе|0|PAULIG|President|молотый|250|г
627|Кофе "Tchibo Exclusive" б/раст. сублим. 190 г пакет|Кофе|0|Tchibo Exclusive||б/раст. сублим.|190|г
628|Кофе "Tchibo Exclusive" б/раст. сублим. 190 г ст/б|Кофе|0|Tchibo Exclusive||б/раст. сублим.|190|г
629|Кофе "Tchibo Exclusive" б/раст. сублим. 95 г пакет|Кофе|0|Tchibo Exclusive||б/раст. сублим.|95|г
630|Кофе "Tchibo Exclusive" б/раст. сублим. 95г ст/б|Кофе|0|Tchibo Exclusive||б/раст. сублим.|95|г
631|Кофе "Tchibo Exclusive" в зернах 250 г пакет|Кофе|0|Tchibo Exclusive||в зернах|250|г
632|Кофе "Tchibo Exclusive" молотый 250 г пакет|Кофе|0|Tchibo Exclusive||молотый|250|г
633|Кофе "Tchibo Gold" selection б/раст. сублим 47 г ст/б|Кофе|0|Tchibo Gold||selection б/раст. сублим|47|г
634|Кофе "Tchibo Gold" selection б/раст. сублим 95 г ст/б|Кофе|0|Tchibo Gold||selection б/раст. сублим|95|г
635|Кофе "Tchibo Mild" б/раст. сублим. ст/б. 190 г|Кофе|0|Tchibo Mild||б/раст. сублим. ст/б.|190|г
636|Кофе "Tchibo Mild" б/раст. сублим. ст/б. 95 г|Кофе|0|Tchibo Mild||б/раст. сублим. ст/б.|95|г
637|Кофе " Московская кофейня на паях" арабика в зернах 500 г пакет|Кофе|0|Московская кофейня на паях||арабика в зернах|500|г
638|Кофе "Петр Великий" арабика в зернах 500г пакет|Кофе|0|Петр Великий||арабика в зернах|500|г
639|Кофе "Петр Великий" арабика молотый 250г пакет|Кофе|0|Петр Великий||арабика молотый|250|г
640|Кофейный напиток "Цикорий" С экстрак. топинамбура растворимый 100 г пл/б|Кофейный напиток|1|Цикорий||С экстрак. топинамбура растворимый|100|г
641|Краб "Приморский"  натуральный 240 г ж/б|Краб|1|Приморский||натуральный|240|г
642|Крабовое мясо " Снежный Краб" 200 г|Крабовое мясо|1|Снежный Краб|||200|г
643|Крабовые палочки "MARISOL" 200 г вак/уп|Крабовые палочки|1|Marisol|||200|г
