GTIN|GLNofDataSupplier|NameOfDataSupplier|BaseUnit|NumberOfBaseUnitContained|ItemNameLongML_language_EN|ItemNameLongML_language_RU|ItemName_language_EN|ItemName_language_RU|DespatchUnit|OrderingUnit|ConsumerUnit|GLNofManufacturer|ManufacturersName|Content|ContentUnitOfMeasure|GrossWeightFNFTSS|GrossWeightUnitOfMeasure|NetWeight|NetWeightUnitOfMeasure|BasePriceDeclarationRelevant|VAT_RU|BrandNameML_language_EN|BrandNameML_language_RU|PLUDescriptionML_language_EN|PLUDescriptionML_language_RU|GPC|CountryOfOrigin|PackagingTypeFNF|MeasurementTradeItemHeight|MeasurementTradeItemHeightUnitOfMeasure|MeasurementTradeItemLengthDepth|MeasurementTradeItemLengthDepthUnitOfMeasure|MeasurementTradeItemWidth|MeasurementTradeItemWidthUnitOfMeasure|GTINofNextLowerPackagingItem|NumberOfNextLowerItemContained|PalletDataPalletTypeFNF|GTINCodedPallet|PalletDataPalletHandling|NumberOfLayersPerPallet|PalletDataPalletLoadingHeight|StorageStackingFactor|PalletDataPalletGrossWeight|SubBrand|NetVolume|NetVolumeUnitOfMeasure|functionalsHealthClaims|technoChemicalProperties|GTINofAssortmentComponent|ContentAssortmentNumberOfComponents|MarketingNameML_language_RU|ItemNameShortML_language_RU|VariableMeasureTradeItem|CountryOfLastProvenance|ColourSupplierNoCode|ColourColourCodeListAgency|RFIDSupport|PalletDataNumberOfDespatchUnitsPerPallet|BasePriceRelevantContent|BasePriceRelevantContentUnitOfMeasure|GTINofItemSubstitutedFor|InternalItemIDofSupplier|ItemName_language_EL|CataloguePriceOfInvoiceUnit|CataloguePriceCurrency|CataloguePricePriceBasis|CataloguePricePriceBasisUnitOfMeasure|certificateOfQualityNumber|certificateOfQualityStartDate|certificateOfQualityEndDate|DangerousGoodsLimitedQuantities|DrainedWeight|DrainedWeightUnitOfMeasure|GeneticalInformation|MinimumDurabilityFromProduction|MinimumDurabilityFromProductionTimeUnit|NutritionalValueReferenceValue|GrossCalorificValueKJ|ConvenienceLevel|nutritionalContentValueUnitOfMeasure|ENumberCode|MinimumDurabilityFromOpening|MinimumDurabilityFromOpeningTimeUnit|nutritionalCompositionCode|nutritionalCompositionPercentage|rawMaterialUsed|rawMaterialUsedUnitOfMeasure|RecommendedSalesPrice|RecommendedSalesPriceCurrency|ItemName_language_AR|BatchNumbered|TemperatureMinStorage|TemperatureMaxStorage|TemperatureUnitOfMeasure|CommodityNomenclatureOfForeign-economicActivity|RussianClassificationOfProductsByEconomicActivities|RussianClassificationOfProducts|PricingSegment|ItemName_language_BR|BrandNameML_language_AR|GTINofBaseUnit|FunctionalName_language_EN|variant|variantLanguage|NonPublicGLNList|dietaryInformation|StartValidityDateOfAddVersion|FunctionalName_language_RU|handlingInstructionCode|MinimumOrderQuantity|RackJobber|MinimumDurabilityFromArrival|MinimumDurabilityFromArrivalTimeUnit
42142812|4610316576304||BI|1||  CHOCOLATE VINNI DISNEY|  CHOCOLATE VINNI DISNEY|ШОКОЛАДНЫЙ ВИННИ ДИСНЕЙ|N|N|Y|4607099827691|Rubezahl|1|PCE|30|GRM|||Y|60||Дисней|||10000597|DE|APE|70|MMT|40|MMT|50|MMT|||||||||||||||||||N|DE|||N|||||||||||||||25|GRM|X13|15|802|HGM|2237|CL5|GRM|||||||||||||||||||||||||||||||||
4018905153956|4610316576304||PI|96|||||Y|Y|Y|||||||||||||||||CT|||440|MMT|400|MMT|42142812|96|203|Y|RUP|10|1800|1|3820||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4018905153802|4610316576304||PI|3|||||N|N|Y|||||110|GRM|||||||||||CT|75|MMT|45|MMT|140|MMT|42142812|3|||||||||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000281756500|4610316576304||BI|1||400 Chocolate Assortment||400г Шоколадные конфеты Ассорти|N|N|Y|4000281756500|Piasten|1|PCE|180|GRM|||Y|60|||||10000597|DE|CT|70|MMT|180|MMT|240|MMT|||||||||||||||||||N|DE|||N|||||756||||||||||400|GRM||||||||||||||||||||||||||||||||||||||||
4000281756005|4610316576304||PI|6|||||Y|Y|Y|||||||||||||||||CT|||180|MMT|585|MMT|4000281756500|6|200|Y|RUP|33|1500|1|3800||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001018|4610316576304||BI|1||Mestermacher Pumpernickel 500|Mestermacher Pumpernickel 500|Махер Вестфальский хлеб 500г|N|N|Y|4000446001018|Mestermacher |1|PCE|270|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|90|MMT|50|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||1901||||||||||500|GRM|X13|1|801|HGM|782|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020019|4610316576304||PI|12|||||Y|Y|Y|||||6900|GRM|||||||||||CT|215|MMT|160|MMT|250|MMT|4000446001018|12|CP1||RUP||1250|2||||||||||||||||105|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001025|4610316576304||BI|1||Mestermacher Pumpernickel 250|Mestermacher Pumpernickel 250|Махер Вестфальский хлеб 250г|N|N|Y|4000446001025|Mestermacher |1|PCE|270|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|90|MMT|40|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||2001||||||||||250|GRM|X13|1|801|HGM|782|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020026|4610316576304||PI|11|||||Y|Y|Y|||||3300|GRM|||||||||||CT|90|MMT|385|MMT|115|MMT|4000446001025|11|CP1||RUP||1020|2||||||||||||||||190|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001056|4610316576304||BI|1||Mestermacher Vollkorn250|Mestermacher Vollkorn 250|Махер Ржаной хлеб 250г|N|N|Y|4000446001056|Mestermacher |1|PCE|270|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|35|MMT|105|MMT|85|MMT|||||||||||||||||||N|DE|||N|||||5001||||||||||250|GRM|X13|1|801|HGM|742|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020057|4610316576304||PI|11|||||Y|Y|Y|||||330|GRM|||||||||||CT|90|MMT|385|MMT|115|MMT|4000446001056|11|CP1||RUP||1020|2||||||||||||||||190||||5001|||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001223|4610316576304||BI|1||Mestermacher Diat brot 250|Mestermacher Diat brot 250|Махер Диетический хлеб 250г|N|N|N|4000446001223|Mestermacher |1|PCE|270|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|25|MMT|115|MMT|100|MMT|||||||||||||||||||N|DE|||N|||||||||||||||250|GRM|X13|1|801|HGM|696|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020224|4610316576304||PI|12|||||Y|Y|Y|||||3300|GRM|||||||||||CT|90|MMT|265|MMT|210|MMT|4000446001223|12|CP1||RUP||1000|2||||||||||||||||150|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001315|4610316576304||BI|1||Mestermacher German Bread Basket|Mestermacher German Bread Basket|Махер Хлебная корзина|N|N|Y|4000446001315|Mestermacher |1|PCE|540|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|65|MMT|120|MMT|115|MMT|||||||||||||||||||N|DE|||N|||||1315||||||||||500|GRM|X13||801|HGM|1840|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020316|4610316576304||PI|12|||||Y|Y|Y|||||6900|GRM|||||||||||CT|140|MMT|365|MMT|260|MMT|4000446001315|12|CP1||RUP||1300|1||||||||||||||||70|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001636|4610316576304||BI|1||Mestemacher Bio Dreikorn brot 500|Mestemacher Bio Dreikorn brot 500|Махер  хлеб  из 3-х злаков 500г|N|N|Y|4000446001636|Mestermacher |1|PCE|520|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|100|MMT|50|MMT|120|MMT|||||||||||||||||||N|DE|||N|||||63||||||||||500|GRM|X13|1|801|HGM|779|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020637|4610316576304||PI|12|||||Y|Y|Y|||||6900|GRM|||||||||||CT|180|MMT|166|MMT|390|MMT|4000446001636|12|CP1||RUP||1300|2||||||||||||||||84|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001643|4610316576304||BI|1||Mestemacher Bio Sonnenblumen 500|Mestemacher Bio Sonnenblumen 500|Махер Ржаной хлеб c cемена подсолнечника 500г|N|N|Y|4000446001643|Mestermacher |1|PCE|520|GRM|||Y|59||Местемахер|||10000598|DE|UVQ|90|MMT|50|MMT|170|MMT|||||||||||||||||||N|DE|||N|||||||||||||||500|GRM|X13||801|HGM|806|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020644|4610316576304||PI|12|||||Y|Y|Y|||||6900|GRM|||||||||||CT|180|MMT|167|MMT|390|MMT|4000446001643|12|CP1||RUP||1300|2||||||||||||||||84|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001650|4610316576304||BI|1||Mestermacher Bio Leinsamen brot 500|Mestermacher Bio Leinsamen brot  500|Махер Ржаной хлеб с семенами льна 500г|N|N|Y|4000446001650|Mestermacher |1|PCE|520|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|100|MMT|50|MMT|120|MMT|||||||||||||||||||N|DE|||N|||||65||||||||||500|GRM|X13|1|801|HGM|776|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020651|4610316576304||PI|12|||||Y|Y|Y|||||6900|GRM|||||||||||CT|215|MMT|160|MMT|250|MMT|4000446001650|12|CP1||RUP||1250|2||||||||||||||||105|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001667|4610316576304||BI|1||Mestemacher Bio Vollkornbrot 500|Mestemacher Bio Vollkornbrot 500|Махер натуральный ржаной хлеб 500г|N|N|Y|4000446001636|Mestemacher |1|PCE|520|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|100|MMT|50|MMT|120|MMT|||||||||||||||||||N|DE|||N|||||62||||||||||500|GRM|X13|1|801|HGM|726|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446020620|4610316576304||PI|12|||||Y|Y|Y|||||6900|GRM|||||||||||CT|180|MMT|165|MMT|390|MMT|4000446001667|12|CP1||RUP||1300|2||||||||||||||||84|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001728|4610316576304||BI|1||Mestemacher Vollkornbrot 500|Mestemacher Vollkornbrot 500|Махер Ржаной хлеб 500|N|N|Y|4000446001728|Mestemacher |1|PCE|520|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|90|MMT|60|MMT|170|MMT|||||||||||||||||||N|DE|||N|||||72901||||||||||500|GRM|X13|1|801|HGM|742|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446012724|4610316576304||PI|12|||||Y|Y|Y|||||6400|GRM|||||||||||CT|180|MMT|165|MMT|390|MMT|4000446001728|12|CP1||RUP||1300|2||||||||||||||||84||||72901|||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001742|4610316576304||BI|1||Mestemacher Sonnen 500|Mestemacher Sonnen 500|Махер Хлеб c cемена подсолнечника 500г|N|N|Y|4000446001742|Mestemacher |1|PCE|520|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|90|MMT|60|MMT|170|MMT|||||||||||||||||||N|DE|||N|||||74901||||||||||500|GRM|X13|1|801|HGM|820|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446012748|4610316576304||PI|12|||||Y|Y|Y|||||6400|GRM|||||||||||CT|200|MMT|165|MMT|360|MMT|4000446001742|12|CP1||RUP||1300|2||||||||||||||||84||||74901|||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001759|4610316576304||BI|1||Mestemacher Musli Vollkornbrot 500|Mestemacher Musli Vollkornbrot 500|Махер Ржаной  хлеб c мюсли 500г|N|N|Y|4000446001759|Mestemacher |1|PCE|520|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|90|MMT|50|MMT|170|MMT|||||||||||||||||||N|DE|||N|||||||||||||||500|GRM|X13|1|801|HGM|830|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446012755|4610316576304||PI|12|||||Y|Y|Y|||||6400|GRM|||||||||||CT|180|MMT|165|MMT|390|MMT|4000446001759|12|CP1||RUP||1300|2||||||||||||||||84||||75901|||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446001780|4610316576304||BI|1||Mestemacher Fitness-brot 500|Mestemacher Fitness-brot 500|Махер Фитнес-хлеб 500г|N|N|Y|4000446001780|Mestermacher |1|PCE|520|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|90|MMT|60|MMT|170|MMT|||||||||||||||||||N|DE|||N|||||1718||||||||||500|GRM|X13|1|801|HGM|820|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446012786|4610316576304||PI|12|||||Y|Y|Y|||||6400|GRM|||||||||||CT|200|MMT|165|MMT|360|MMT|4000446001780|12|CP1||RUP||1300|2||||||||||||||||84|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4000446012410|4610316576304||BI|1||Mestermacher Sonnen 250|Mestermacher Sonnen 250|Махер Хлеб c cемена подсолнечника250г|N|N|Y|4000446012410|Mestermacher |1|PCE|270|GRM|||Y|59||Местемахер|||10000165|DE|UVQ|90|MMT|40|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||1001||||||||||250|GRM|X13|1|801|HGM|820|CL5|GRM||5|804||||||||||||||||||||||||||||||
4000446022419|4610316576304||PI|11|||||Y|Y|Y|||||3300|GRM|||||||||||CT|115|MMT|90|MMT|385|MMT|4000446012410|11|CP1||RUP||1020|1||||||||||||||||150||||1001|||||||||N||||||||||||||||||||||||||||||||||||||||||
4003160042145|4610316576304||BI|1||Gingerbread Hexenhaus| Hexenhaus Gingerbread|Пряники |N|N|Y|4003160042145|Weiss|1|PCE|97|GRM|||Y|60||Вайс|||10000045|DE|CT|107|MMT|87|MMT|80|MMT|||||||||||||||||||N|DE|||N|||||4217||||||||||75|GRM|X13|||||CL5||||||||||||||||||||||||||||||||||
4003160042176|4610316576304||PI|28|||||Y|Y|Y|||||2977|GRM|||||||||||CT|110|MMT|600|MMT|400|MMT|4003160042145|28|CP1||RUP||1200|1||||||||||||||||60||||4217|||||||||N||||||||||||||||||||||||||||||||||||||||||
4003160409405|4610316576304||BI|1||KK Gingerbread  Allerlei 400 |  KK Gingerbread Allerlei 400| Пряники Всякая Всячина400 |N|N|Y|4003160409405|Kinkartz|1|PCE|420|GRM|||Y|60||Кинкартц|||10000045|DE|BG|50|MMT|300|MMT|180|MMT|||||||||||||||||||N|DE|||N|||||40945||||||||||400|GRM|X13|1|801|HGM|1656|CL5|GRM|||||||||||||||||||||||||||||||||
4003160705705|4610316576304||PI|18|||||Y|Y|Y|||||8000|GRM|||||||||||CT|335|MMT|555|MMT|255|MMT|4003160409405|18|CP1||RUP||1800|1||||||||||||||||30|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4003160434100|4610316576304||BI|1||Diat Lebkuchen Herzen|  Diat Lebkuchen Herzen| Пряники |N|N|Y|4003160434100|Weiss|1|PCE|157|GRM|||Y|60||Вайс|||10000045|DE|BG|190|MMT|50|MMT|120|MMT|||||||||||||||||||N|DE|||N|||||43411||||||||||150|GRM|X13|1|801|||CL5||||||||||||||||||||||||||||||||||
4003160434117|4610316576304||PI|46|||||Y|Y|Y|||||8000|GRM|||||||||||CT|225|MMT|600|MMT|400|MMT|4003160434100|46|CP1||RUP||1600|1||||||||||||||||28||||43411|||||||||N||||||||||||||||||||||||||||||||||||||||||
4003160434308|4610316576304||BI|1||Diat Butter Spekulatius| Diat Butter Spekulatius| Печенье |N|N|Y|4003160434308|Weiss|1|PCE|210|GRM|||Y|60||Вайс|||10000161|DE|BG|43|MMT|167|MMT|106|MMT|||||||||||||||||||N|DE|||N|||||43431||||||||||200|GRM|X13|||||CL5||||||||||||||||||||||||||||||||||
4003160434315|4610316576304||PI|35|||||Y|Y|Y|||||8340|GRM|||||||||||CT|225|MMT|600|MMT|400|MMT|4003160434308|35|CP1||RUP||1700|1||||||||||||||||28|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894180503|4610316576304||BI|1||Gingerbread clock  200 |   Gingerbread clock 200 | Пряники 200 |N|N|Y|4006894180503|Ламбертц|1|PCE|350|GRM|||Y|60||Ламбертц|||10000045|DE|CA|120|MMT|90|MMT|120|MMT|||||||||||||||||||N|DE|||N|||||||||||||||200|GRM|X13|1|801|HGM|1474|CL5|GRM|||||||||||||||||||||||||||||||||
4006894180510|4610316576304||PI|24|||||Y|Y|Y|||||8800|GRM|||||||||||CT|255|MMT|335|MMT|555|MMT|4006894180503|24|CP1||RUP||1800|1||||||||||||||||30|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894186802|4610316576304||BI|1||Bilderrahmen-Dose |  Bilderrahmen-Dose | Пряники 300 в шкатулке|N|N|Y|4006894186802|Ламбертц|1|PCE|514|GRM|||Y|60||Ламбертц|||10000045|DE|CA|137|MMT|140|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||18681||||||||||300|GRM|X13|1|801|||CL5||||||||||||||||||||||||||||||||||
4006894186819|4610316576304||PI|13|||||Y|Y|Y|||||7280|GRM|||||||||||CT|146|MMT|566|MMT|336|MMT|4006894186802|13|CP1||RUP||1800|1||||||||||||||||44||||18681|||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894261103|4610316576304||BI|1|| 500 DOMINOS 0,5 METER|500 DOMINOS 0,5 METER|500 ПРЯНИКИ ДОМИНОС 0,5 МЕТРА|N|N|Y|4006894261103||1|PCE|650|GRM|||Y|60||Ламбертц|||10000597|DE|CT|110|MMT|35|MMT|500|MMT|||||||||||||||||||N|DE|||N|||||||||||||||500|GRM|X13|6|802|||CL5||||||||||||||||||||||||||||||||||
4006894261110|4610316576304||PI|60|||||Y|Y|N|||||||||||||||||CT|||185|MMT|755|MMT|4006894261103|60|200|Y|RUP|1|1055|1|37000||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894396805|4610316576304||BI|1||Lamertz Time| Lamertz Time|Пряники |N|N|Y|4006894396805|Aachener Printen Henry Lambertz|1|PCE|1080|GRM|||Y|60||Ламбертц|||10000045|DE|CT|42|MMT|110|MMT|972|MMT|||||||||||||||||||N|DE|||N|||||||||||||||800|GRM|X13|8|802|HGM||CL5||||||||||||||||||||||||||||||||||
4006894396898|4610316576304||PI|40|||||Y|Y|Y|||||4747|GRM|||||||||||CT|1500|MMT|606|MMT|406|MMT|4006894396805|40|CP1||RUP||1600|1||||||||||||||||4|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894527209|4610316576304||BI|1||Chocolate-Cookies 500|Chocolate-Cookies 500| Печенье ассорти с шоколадом 500|N|N|Y|4006894527209|Ламбертц|1|PCE|530|GRM|||Y|60||Ламбертц|||10000160|DE|CT|210|MMT|60|MMT|230|MMT|||||||||||||||||||N|DE|||N|||||52725||||||||||500|GRM|X13|6|802|HGM|2182|CL5|GRM||||CHC|18||||||||||||||||||||||||||||
4006894527261|4610316576304||PI|11|||||Y|Y|Y|||||||||||||||||CT|||335|MMT|555|MMT|4006894527209|11|200|Y|RUP|40|1800|1|6230|||||||||||||||||||52725|||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894547306|4610316576304||BI|1||Bio Vital |  Bio Vital | Cахарные пластины|N|N|Y|4006894547306|Lambertz|1|PCE|157|GRM|||Y|60||Ламбертц|||10000286|DE|BG|205|MMT|55|MMT|75|MMT|||||||||||||||||||N|DE|||N|||||||||||||||150|GRM|X13|6|802|||CL5||||||||||||||||||||||||||||||||||
4006894547313|4610316576304||PI|21|||||Y|Y|Y|||||3760|GRM|||||||||||CT|198|MMT|396|MMT|296|MMT|4006894547306|21|CP1||RUP||1500|1||||||||||||||||72|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894549003|4610316576304||BI|1||Madeira 200|Madeira 200| Печенье Мадейра 200|N|N|Y|4006894549003|Ламбертц|1|PCE|240|GRM|||Y|60||Ламбертц|||10000160|DE|CT|210|MMT|30|MMT|190|MMT|||||||||||||||||||N|DE|||N|||||||||||||||200|GRM|X13|11|802|HGM|2191|CL5|GRM|||||||||||||||||||||||||||||||||
4006894549058|4610316576304||PI|27|||||Y|Y|Y|||||6610|GRM|||||||||||CT|255|MMT|335|MMT|555|MMT|4006894549003|27|CP1||RUP||1800|1||||||||||||||||36|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894553208|4610316576304||BI|1||Exquisit 200|Exquisit 200| Печенье Эксквизит 200|N|N|Y|4006894553208|Ламбертц|1|PCE|230|GRM|||Y|60||Ламбертц|||10000160|DE|CT|210|MMT|30|MMT|210|MMT|||||||||||||||||||N|DE|||N|||||||||||||||200|GRM|X13|11|802|HGM|2194|CL5|GRM|||||||||||||||||||||||||||||||||
4006894553253|4610316576304||PI|27|||||Y|Y|Y|||||6700|GRM|||||||||||CT|335|MMT|390|MMT|255|MMT|4006894553208|27|CP1||RUP||1800|1||||||||||||||||36|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894557404|4610316576304||BI|1||Exquisit 750|Exquisit 750|Печенье Эксквизит 750 |N|N|Y|4006894557404|Ламбертц|1|PCE|1000|GRM|||Y|60||Ламбертц|||10000161|DE|CA|210|MMT|120|MMT|230|MMT|||||||||||||||||||N|DE|||N|||||55747||||||||||750|GRM|X13|1|801|HGM|2196|CL5|GRM|||||||||||||||||||||||||||||||||
4006894557473|4610316576304||PI|7|||||Y|Y|Y|||||7300|GRM|||||||||||CT|255|MMT|335|MMT|555|MMT|4006894557404|7|CP1||RUP||1800|1||||||||||||||||36||||55747|||||||||N||||||||||||||||||||||||||||||||||||||||||
4006894590203|4610316576304||BI|1||Compliments 500|Compliments 500| Печенье Комплиментс 500|N|N|Y|4006894590203|Ламбертц|1|PCE|530|GRM|||Y|60||Ламбертц|||10000160|DE|CT|210|MMT|60|MMT|230|MMT|||||||||||||||||||N|DE|||N|||||||||||||||500|GRM|X13|1|801|HGM|2227|CL5|GRM|||||||||||||||||||||||||||||||||
4006894590258|4610316576304||PI|11|||||Y|Y|Y|||||6230|GRM|||||||||||CT|255|MMT|335|MMT|555|MMT|4006894590203|11|CP1||RUP||1800|1||||||||||||||||6|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4007933131012|4610316576304||BI|1||Delba Vollkornbrot 250|Delba Vollkornbrot  250|Делба Ржаной хлеб 250г|N|N|Y|4007933131012|Delba|1|PCE|270|GRM|||Y|59||Делба|||10000164|DE|DS|30|MMT|150|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||1012||||||||||250|GRM|X13||801|HGM|709|CL5|GRM||5|804||||||||||||||||||||||||||||||
4007933171018|4610316576304||PI|12|||||Y|Y|Y|||||3800|GRM|||||||||||CT|160|MMT|150|MMT|370|MMT|4007933131012|12|CP1||RUP||1750|1||||||||||||||||170|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4007933131029|4610316576304||BI|1||Delba Sonnenblumenkernbrot 250|Delba Sonnenblumenkernbrot 250|Делба Хлеб c cеменами подсолнечника 250г|N|N|Y|4007933131029|Delba|1|PCE|270|GRM|||Y|59||Делба|||10000164|DE|DS|30|MMT|150|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||1029||||||||||250|GRM|X13||801|HGM|756|CL5|GRM||5|804||||||||||||||||||||||||||||||
4007933171025|4610316576304||PI|12|||||Y|Y|Y|||||1900|GRM|||||||||||CT|160|MMT|150|MMT|370|MMT|4007933131029|12|CP1||RUP||1750|1||||||||||||||||170|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4007933131036|4610316576304||BI|1||Delba Vierkonbrot 250|Delba Vierkonbrot 250|Делба  Хлеб из 4-х злаков 250г|N|N|Y|4007933131036|Delba|1|PCE|270|GRM|||Y|59||Делба|||10000164|DE|DS|30|MMT|150|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||1036||||||||||250|GRM|X13||801|HGM|715|CL5|GRM||5|804||||||||||||||||||||||||||||||
4007933171032|4610316576304||PI|12|||||Y|Y|Y|||||3800|GRM|||||||||||CT|160|MMT|150|MMT|370|MMT|4007933131036|12|CP1||RUP||1750|1||||||||||||||||170|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4007933131043|4610316576304||BI|1||Delba Pumpernickel 250|Delba Pumpernickel 250|Делба Вестфальский хлеб 250г|N|N|Y|4007933131043|Delba|1|PCE|270|GRM|||Y|59||Делба|||10000164|DE|DS|30|MMT|150|MMT|110|MMT|||||||||||||||||||N|DE|||N|||||1036||||||||||250|GRM|X13||801|HGM|781|CL5|GRM||5|804||||||||||||||||||||||||||||||
4007933171049|4610316576304||PI|12|||||Y|Y|Y|||||3800|GRM|||||||||||CT|160|MMT|150|MMT|370|MMT|4007933131043|12|CP1||RUP||1750|1||||||||||||||||170|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4007933131111|4610316576304||BI|1||Delba Cocktail Rounds 250|Delba Cocktail Rounds   250|Делба Ржаные хлебные ломтики 250г|N|N|Y|4007933131111|Delba|1|PCE|270|GRM|||Y|59||Делба|||10000164|DE|DS|190|MMT|50|MMT|60|MMT|||||||||||||||||||N|DE|||N|||||1111||||||||||250|GRM|X13||801|HGM|709|CL5|GRM||5|804||||||||||||||||||||||||||||||
4007933171117|4610316576304||PI|12|||||Y|Y|Y|||||3540|GRM|||||||||||CT|150|MMT|210|MMT|320|MMT|4007933131111|12|CP1||RUP||1300|1||||||||||||||||96||||1111|||||||||N||||||||||||||||||||||||||||||||||||||||||
4007933353018|4610316576304||BI|1||Delba Vollkornbrot Rye Bread 500|Delba Vollkornbrot Rye Bread 500|Делба Цельнозерновой хлеб длинный 500|N|N|Y|4007933353018|Delba|1|PCE|505|GRM|||Y|59||Делба|||10000164|DE|UVQ|90|MMT|50|MMT|170|MMT|||||||||||||||||||N|DE|||N|||||3018||||||||||500|GRM|X13|1|801|HGM|750|CL5|GRM||5|804||||||||||||||||||||||||||||||
4007933363017|4610316576304||PI|12|||||Y|Y|Y|||||6360|GRM|||||||||||CT|185|MMT|170|MMT|385|MMT|4007933353018|12|CP1||RUP||1300|1||||||||||||||||96|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4007933353025|4610316576304||BI|1||Delba Sonnenblumenmenkernbrot L 500|Delba Sonnenblumenmenkernbrot Long 500|Делба Ржаной с семенами подсолнечника длинный 500|N|N|Y|4007933353025|Delba|1|PCE|505|GRM|||Y|59||Делба|||10000598|DE|UVQ|90|MMT|50|MMT|170|MMT|||||||||||||||||||N|DE|||N|||||||||||||||500|GRM|X13|1|801|HGM|815|CL5|GRM||5|804||||||||||||||||||||||||||||||
4007933363024|4610316576304||PI|12|||||Y|Y|Y|||||6360|GRM|||||||||||CT|185|MMT|170|MMT|385|MMT|4007933353025|12|CP1||RUP||1300|1||||||||||||||||96|||||||||||||N||||||||||||||||||||||||||||||||||||||||||
4007933353032|4610316576304||BI|1||Delba Vierkornbrot Long 500|Delba Sonnenblumenmenkernbrot Long 500|Делба Ржаной длинный 500|N|N|Y|4007933353032|Delba|1|PCE|505|GRM|||Y|59||Делба|||10000598|DE|UVQ|90|MMT|50|MMT|170|MMT|||||||||||||||||||N|DE|||N|||||||||||||||500|GRM|X13|1|801|HGM|738|CL5|GRM||5|804||||||||||||||||||||||||||||||
4007933363031|4610316576304||PI|12|||||N|Y|Y|||||96|GRM|||||||||||CT|185|MMT|170|MMT|385|MMT|4007933353032|12|||||||||||||||||||||||||||||||||||N||||||||||||||||||||||||||||||||||||||||||
