GTIN|GLNofDataSupplier|NameOfDataSupplier|BaseUnit|NumberOfBaseUnitContained|ItemNameLongML_language_EN|ItemNameLongML_language_RU|ItemName_language_EN|ItemName_language_RU|DespatchUnit|OrderingUnit|ConsumerUnit|GLNofManufacturer|ManufacturersName|Content|ContentUnitOfMeasure|GrossWeightFNFTSS|GrossWeightUnitOfMeasure|NetWeight|NetWeightUnitOfMeasure|BasePriceDeclarationRelevant|VAT_RU|BrandNameML_language_EN|BrandNameML_language_RU|PLUDescriptionML_language_EN|PLUDescriptionML_language_RU|GPC|CountryOfOrigin|PackagingTypeFNF|MeasurementTradeItemHeight|MeasurementTradeItemHeightUnitOfMeasure|MeasurementTradeItemLengthDepth|MeasurementTradeItemLengthDepthUnitOfMeasure|MeasurementTradeItemWidth|MeasurementTradeItemWidthUnitOfMeasure|GTINofNextLowerPackagingItem|NumberOfNextLowerItemContained|PalletDataPalletTypeFNF|GTINCodedPallet|PalletDataPalletHandling|NumberOfLayersPerPallet|PalletDataPalletLoadingHeight|StorageStackingFactor|PalletDataPalletGrossWeight|SubBrand|NetVolume|NetVolumeUnitOfMeasure|functionalsHealthClaims|technoChemicalProperties|GTINofAssortmentComponent|ContentAssortmentNumberOfComponents|MarketingNameML_language_RU|ItemNameShortML_language_RU|VariableMeasureTradeItem|CountryOfLastProvenance|ColourSupplierNoCode|ColourColourCodeListAgency|RFIDSupport|PalletDataNumberOfDespatchUnitsPerPallet|BasePriceRelevantContent|BasePriceRelevantContentUnitOfMeasure|GTINofItemSubstitutedFor|InternalItemIDofSupplier|ItemName_language_EL|CataloguePriceOfInvoiceUnit|CataloguePriceCurrency|CataloguePricePriceBasis|CataloguePricePriceBasisUnitOfMeasure|certificateOfQualityNumber|certificateOfQualityStartDate|certificateOfQualityEndDate|DangerousGoodsLimitedQuantities|DrainedWeight|DrainedWeightUnitOfMeasure|GeneticalInformation|MinimumDurabilityFromProduction|MinimumDurabilityFromProductionTimeUnit|NutritionalValueReferenceValue|GrossCalorificValueKJ|ConvenienceLevel|nutritionalContentValueUnitOfMeasure|ENumberCode|MinimumDurabilityFromOpening|MinimumDurabilityFromOpeningTimeUnit|nutritionalCompositionCode|nutritionalCompositionPercentage|rawMaterialUsed|rawMaterialUsedUnitOfMeasure|RecommendedSalesPrice|RecommendedSalesPriceCurrency|ItemName_language_AR|BatchNumbered|TemperatureMinStorage|TemperatureMaxStorage|TemperatureUnitOfMeasure|CommodityNomenclatureOfForeign-economicActivity|RussianClassificationOfProductsByEconomicActivities|RussianClassificationOfProducts|PricingSegment|ItemName_language_BR|BrandNameML_language_AR|GTINofBaseUnit|FunctionalName_language_EN|variant|variantLanguage|NonPublicGLNList|dietaryInformation|StartValidityDateOfAddVersion|FunctionalName_language_RU|handlingInstructionCode|MinimumOrderQuantity|RackJobber|MinimumDurabilityFromArrival|MinimumDurabilityFromArrivalTimeUnit
7622300520083|4604955748605||PI|24|Cote D`Or Dark Extra 54%|КОТ Д'ОР 54%какао24х150г|||Y|Y|N|||||3838|GRM|3600|GRM|||||||||BX|140|MMT|248|MMT|140|MMT|5410081201848|24|202|N|RUP|8|1270|1|792600|||||||||||||||200||||853704|||||||||||||||||||||||||||||||||||||||5410081201848||||||9/8/2010|||1|||
7622300333966|4604955748605||BI|1|CDO Dark Orange|КОТ Д'ОР апельс. 20х100г|COTE D'OR CHOCOLATE TABLET DARK WITH ORANGE FLAVOR|COTE D'OR ШОКОЛАДНЫЕ ПЛИТКИ ТЕМН. СО ВКУСОМ АПЕЛЬСИНА|N|N|Y|4601738999992|Kraft Foods Rus LLC|100|GRM|113|GRM|100|GRM|N|60|COTE D'OR||CDO Dark Ora|КОТ Д'ОР апе|10000045|BE|BX|188|MMT|8|MMT|93|MMT|||||||||||||||||||N|||||||||753087|||||||||||||365|804|||||||||||||||||||||||||7622300333966|CHOCOLATE TABLET|DARK WITH ORANGE FLAVOR|EN|||9/8/2010|ШОКОЛАДНЫЕ ПЛИТКИ|||||
7622300333959|4604955748605||PI|20|CDO Dark Orange|КОТ Д'ОР апельс. 20х100г|||Y|Y|N|||||2343|GRM|2000|GRM|||||||||BX|100|MMT|200|MMT|197|MMT|7622300333966|20|202|N|RUP|11|1262|1|647552|||||||||||||||264||||753086|||||||||||||||||||||||||||||||||||||||7622300333966||||||9/8/2010|||1|||
7622300334079|4604955748605||BI|1|CDO 70% Dark|КОТ Д'ОР 70%темн.20х100г|COTE D'OR CHOCOLATE TABLET 70% DARK|COTE D'OR ШОКОЛАДНЫЕ ПЛИТКИ 70% ТЕМН|N|N|Y|4601738999992|Kraft Foods Rus LLC|100|GRM|113|GRM|100|GRM|N|60|COTE D'OR||CDO 70% Dark|КОТ Д'ОР 70%|10000045|BE|BX|188|MMT|8|MMT|93|MMT|||||||||||||||||||N|||||||||753098|||||||||||||549|804|||||||||||||||||||||||||7622300334079|CHOCOLATE TABLET|70% DARK|EN|||9/8/2010|ШОКОЛАДНЫЕ ПЛИТКИ|||||
7622300279691|4604955748605||PI|20|CDO 70% Dark|КОТ Д'ОР 70%темн.20х100г|||Y|Y|N|||||2343|GRM|2000|GRM|||||||||BX|100|MMT|200|MMT|197|MMT|7622300334079|20|202|N|RUP|11|1262|1|647552|||||||||||||||264||||713106|||||||||||||||||||||||||||||||||||||||7622300334079||||||9/8/2010|||1|||
7622300334086|4604955748605||BI|1|CDO Dark Pistachio|КОТ Д'ОР с фист. 20х100г|COTE D'OR CHOCOLATE TABLET DARK WITH PISTACHIO|COTE D'OR ШОКОЛАДНЫЕ ПЛИТКИ ТЕМН. С ФИСТАШКАМИ|N|N|Y|4601738999992|Kraft Foods Rus LLC|100|GRM|113|GRM|100|GRM|N|60|COTE D'OR||CDO Dark Pis|КОТ Д'ОР с ф|10000045|BE|BX|188|MMT|8|MMT|93|MMT|||||||||||||||||||N|||||||||753099|||||||||||||275|804|||||||||||||||||||||||||7622300334086|CHOCOLATE TABLET|DARK WITH PISTACHIO|EN|||9/8/2010|ШОКОЛАДНЫЕ ПЛИТКИ|||||
7622300279707|4604955748605||PI|20|CDO Dark Pistachio|КОТ Д'ОР с фист. 20х100г|||Y|Y|N|||||2343|GRM|2000|GRM|||||||||BX|100|MMT|200|MMT|197|MMT|7622300334086|20|202|N|RUP|11|1262|1|647552|||||||||||||||264||||713107|||||||||||||||||||||||||||||||||||||||7622300334086||||||9/8/2010|||1|||
7622300499389|4604955748605||BI|1|CDO 86% Dark|КОТ Д'ОР 86%темн.20х100г|COTE D'OR CHOCOLATE TABLET DARK 86%|COTE D'OR ШОКОЛАДНЫЕ ПЛИТКИ DARK 86%|N|N|Y|4601738999992|Kraft Foods Rus LLC|100|GRM|113|GRM|100|GRM|N|60|COTE D'OR||CDO 86% Dark|КОТ Д'ОР 86%|10000045|BE|BX|188|MMT|8|MMT|93|MMT|||||||||||||||||||N|||||||||850891|||||||||||||549|804|||||||||||||||||||||||||7622300499389|CHOCOLATE TABLET|DARK 86%|EN|||9/8/2010|ШОКОЛАДНЫЕ ПЛИТКИ|||||
7622300499372|4604955748605||PI|20|CDO 86% Dark|КОТ Д'ОР 86%темн.20х100г|||Y|Y|N|||||2343|GRM|2000|GRM|||||||||BX|100|MMT|200|MMT|197|MMT|7622300499389|20|202|N|RUP|11|1262|1|647552|||||||||||||||264||||850890|||||||||||||||||||||||||||||||||||||||7622300499389||||||9/8/2010|||1|||
7622300496371|4604955748605||BI|1|I love Milka Almond|МИЛКА Конф.шок 12х137г|MILKA I LOVE MILKA CHOCOLATE PIECES MILK WITH ALMOND FILLING|MILKA I LOVE MILKA КОНФЕТЫ ШОКОЛАДНЫЕ МОЛОЧНЫЙ С ЦЕЛЬНЫМ МИНДАЛЕМ|N|N|Y|4601738999992|Kraft Foods Rus LLC|137|GRM|238|GRM|137|GRM|N|60|MILKA||I love Milka|МИЛКА Конф.ш|10000046|UA|BX|28|MMT|241|MMT|257|MMT||||||||||I LOVE MILKA|||||||||N|||||||||850489|||||||||||||275|804|||||||||||||||||||||||||7622300496371|CHOCOLATE PIECES|MILK WITH ALMOND FILLING|EN|||10/25/2010|КОНФЕТЫ ШОКОЛАДНЫЕ|||||
7622300496364|4604955748605||PI|12|I love Milka Almond|МИЛКА Конф.шок 12х137г|||Y|Y|N|||||3300|GRM|1644|GRM|||||||||BX|170|MMT|495|MMT|260|MMT|7622300496371|12|202|N|RUP|9|1584|1|201300|||||||||||||||54||||850488|||||||||||||||||||||||||||||||||||||||7622300496371||||||10/25/2010|||1|||
7622300513603|4604955748605||PI|14|Barny Choco PromoPuzzle1|БАРНИ МЕД6x(14х30г)Пазл1|||N|N|Y|||||770|GRM|420|GRM|||||||||BX|70|MMT|350|MMT|200|MMT|4600375913781|14||||||||||||||||||||||||||852819|||||||||||||||||||||||||||||||||||||||4600375913781||||||10/28/2010||||||
7622300513597|4604955748605||PI|84|Barny Choco PromoPuzzle1|БАРНИ МЕД6x(14х30г)Пазл1|||Y|Y|N|||||4650|GRM|2520|GRM|||||||||BX|383|MMT|243|MMT|415|MMT|7622300513603|6|202|N|RUP|8|1851|1|225000|||||||||||||||48||||852818|||||||||||||||||||||||||||||||||||||||4600375913781||||||10/28/2010|||1|||
7622300487027|4604955748605||BA|1|Milka promo set with mug|МИЛКА мол. 8х470г с круж|MILKA MIXED MODULE MILK MIXED|MILKA МИКСОВАННАЯ ПАЛЛЕТА МОЛОЧН. МИКС|N|N|Y|4601738999992|Kraft Foods Rus LLC|5|PCE|750|GRM|470|GRM||60|MILKA||Milka promo|МИЛКА мол. 8|10000045||BX|86|MMT|93|MMT|273|MMT|||||||||||||||7622300252700|1|||N|||||||||849295|||||||||||||275|804|||||||||||||||||||||||||7622300487027|MIXED MODULE|||||10/15/2010|МИКСОВАННАЯ ПАЛЛЕТА|||||
7622300486945|4604955748605||PI|8|Milka promo set with mug|МИЛКА мол. 8х470г с круж|||Y|Y|N|||||6400|GRM|3760|GRM|||||||||BX|200|MMT|493|MMT|288|MMT|7622300487027|8|202|N|RUP|10|2145|1|409000|||||||||||||||60||||849288|||||||||||||||||||||||||||||||||||||||7622300487027||||||10/15/2010|||1|||
7622300343590|4604955748605||BI|1|Milka NY Candle house|МИЛКА н-р подсв.6x177.5г|MILKA CHOCOLATE PIECES MILK CHRISTMAS PRESENT|MILKA КОНФЕТЫ ШОКОЛАДНЫЕ РОЖДЕСТВЕНСКИЙ ПОДАРОК ИЗ МОЛОЧНОГО ШОКОЛАДА|N|N|Y|4601738999992|Kraft Foods Rus LLC|177.5|GRM|390|GRM|177.5|GRM|N|60|MILKA||Milka NY Can|МИЛКА н-р по|10000045|UA|CA|180|MMT|115|MMT|115|MMT|||||||||||||||||||N|||||||||754267|||||||||||||365|804|||||||||||||||||||||||||7622300343590|CHOCOLATE PIECES|MILK CHRISTMAS PRESENT|EN|||11/12/2010|КОНФЕТЫ ШОКОЛАДНЫЕ|||||
7622300343583|4604955748605||PI|6|Milka NY Candle house|МИЛКА н-р подсв.6x177.5г|||Y|Y|N|||||2640|GRM|1065|GRM|||||||||BX|200|MMT|253|MMT|373|MMT|7622300343590|6|202|N|RUP|8|1744|1|213600|||||||||||||||72||||754266|||||||||||||||||||||||||||||||||||||||7622300343590||||||11/12/2010|||1|||
3117341650010|4604955748605||BI|1|Velours Noire R&G 12x250|ВЕЛЮР НУАР 12х250г пак|VELOURS NOIR COFFEE-GROUND 100% ARABICA|VELOURS NOIR КОФЕ МОЛОТЫЙ 100% ARABICA|N|N|Y|4601738999992|Kraft Foods Rus LLC|250|GRM|260|GRM|250|GRM|N|60|VELOURS NOIR||Velours Noir|ВЕЛЮР НУАР 1|10000111|BE|BG|135|MMT|83|MMT|50|MMT|||||||||||||||||||N|||||||||2000898|||||||||||||365|804|||||||||||||||||||||||||3117341650010|COFFEE-GROUND|100% ARABICA|EN|||11/15/2010|КОФЕ МОЛОТЫЙ|||||
7622300628581|4604955748605||PI|12|Velours Noire R&G 12x250|ВЕЛЮР НУАР 12х250г пак|||Y|Y|N|||||3125|GRM|3000|GRM|||||||||SW|145|MMT|320|MMT|150|MMT|3117341650010|12|202|N|RUP|6|1040|2|358400|||||||||||||||108||||62858|||||||||||||||||||||||||||||||||||||||3117341650010||||||11/15/2010|||1|||
